ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
170936.0,262.0,219257.0,36644.0,1939.0,45.0,11178.0,24790.0
153981.0,263.0,198757.0,34589.0,1751.0,34.0,10172.0,22699.0
119374.0,192.0,156734.0,28215.0,1385.0,30.0,7994.0,17642.0
112533.0,164.0,155064.0,24581.0,1033.0,19.0,7497.0,17228.0
103014.0,141.0,142814.0,22391.0,946.0,15.0,7152.0,16013.0
102319.0,174.0,141913.0,20943.0,1005.0,23.0,6756.0,15696.0
89208.0,162.0,121999.0,20015.0,1072.0,23.0,6193.0,13731.0
86938.0,148.0,119712.0,19184.0,1014.0,15.0,5811.0,13807.0
85822.0,133.0,112490.0,18246.0,834.0,22.0,5951.0,13312.0
77827.0,109.0,103323.0,17449.0,884.0,12.0,5742.0,12085.0
72496.0,143.0,103913.0,15957.0,766.0,12.0,4792.0,11716.0
76376.0,149.0,95789.0,17626.0,1088.0,17.0,5042.0,11259.0
52575.0,76.0,72613.0,11842.0,551.0,9.0,3748.0,8522.0
65148.0,125.0,85898.0,15997.0,639.0,11.0,4845.0,10201.0
61853.0,99.0,84252.0,15705.0,735.0,10.0,4567.0,10100.0
50090.0,72.0,70715.0,11969.0,434.0,18.0,4048.0,8541.0
44625.0,68.0,65385.0,11749.0,443.0,8.0,3597.0,7576.0
40181.0,42.0,64075.0,7902.0,272.0,15.0,2857.0,6709.0
46256.0,80.0,64154.0,10035.0,499.0,6.0,3398.0,7224.0
41559.0,86.0,58978.0,10065.0,406.0,10.0,3083.0,6647.0
39900.0,68.0,54650.0,9000.0,331.0,8.0,3047.0,6133.0
36886.0,57.0,52942.0,8468.0,338.0,10.0,2947.0,6180.0
42847.0,64.0,56479.0,10059.0,334.0,7.0,3374.0,6651.0
29143.0,51.0,41899.0,7271.0,255.0,6.0,2296.0,4662.0
32944.0,62.0,45355.0,7483.0,474.0,3.0,2322.0,4978.0
34896.0,87.0,42429.0,8129.0,647.0,14.0,2107.0,5127.0
31487.0,58.0,44709.0,8598.0,271.0,5.0,2597.0,5217.0
25464.0,35.0,36266.0,5213.0,235.0,8.0,2018.0,4400.0
29252.0,39.0,35100.0,6689.0,317.0,10.0,2227.0,4404.0
29951.0,67.0,36628.0,7605.0,519.0,5.0,2270.0,4454.0
29020.0,46.0,34047.0,6143.0,462.0,6.0,2066.0,4488.0
32514.0,75.0,39923.0,8199.0,531.0,6.0,2246.0,4641.0
28775.0,52.0,32560.0,6192.0,413.0,9.0,2141.0,4229.0
27616.0,58.0,32258.0,7048.0,487.0,5.0,1999.0,3894.0
41772.0,71.0,46234.0,8462.0,654.0,11.0,3085.0,6138.0
29342.0,51.0,35985.0,7750.0,381.0,3.0,2373.0,4713.0
33781.0,75.0,37403.0,7673.0,660.0,10.0,2250.0,4991.0
32224.0,44.0,37163.0,6435.0,446.0,6.0,2318.0,5136.0
24453.0,38.0,26402.0,6214.0,306.0,9.0,1806.0,3681.0
26426.0,52.0,27590.0,7440.0,497.0,12.0,2040.0,4134.0
24069.0,46.0,24296.0,6556.0,474.0,4.0,1739.0,3288.0
21434.0,49.0,25107.0,5369.0,260.0,2.0,1861.0,3657.0
27873.0,58.0,30181.0,6729.0,478.0,6.0,2139.0,3946.0
19961.0,41.0,22782.0,4859.0,368.0,7.0,1395.0,2830.0
22794.0,40.0,27776.0,6073.0,509.0,7.0,1955.0,3508.0
18113.0,28.0,21154.0,4671.0,185.0,5.0,1496.0,2815.0
18134.0,35.0,21238.0,5056.0,237.0,7.0,1745.0,3048.0
20200.0,28.0,21095.0,4741.0,305.0,3.0,1558.0,3116.0
16632.0,40.0,19210.0,3943.0,273.0,2.0,1298.0,2706.0
18227.0,28.0,19363.0,4049.0,280.0,5.0,1305.0,2445.0
15607.0,46.0,15198.0,5131.0,403.0,5.0,1080.0,1983.0
14289.0,36.0,14475.0,3892.0,274.0,4.0,972.0,2005.0
22224.0,46.0,19009.0,4249.0,483.0,17.0,1401.0,2868.0
17687.0,39.0,19264.0,3837.0,260.0,5.0,1482.0,2787.0
23995.0,42.0,22990.0,5169.0,408.0,6.0,1645.0,3153.0
12954.0,28.0,14120.0,3274.0,217.0,7.0,1059.0,1925.0
15910.0,37.0,17017.0,3574.0,266.0,5.0,1315.0,2395.0
21834.0,41.0,20835.0,4722.0,391.0,10.0,1667.0,3196.0
13917.0,18.0,15163.0,2680.0,193.0,3.0,934.0,2014.0
18074.0,20.0,17995.0,3847.0,286.0,8.0,1261.0,2476.0
19536.0,49.0,18061.0,4384.0,390.0,1.0,1443.0,2702.0
15694.0,16.0,15655.0,2911.0,203.0,2.0,1174.0,2363.0
16478.0,26.0,16806.0,3125.0,317.0,3.0,1141.0,2454.0
14478.0,18.0,14715.0,3152.0,233.0,5.0,1151.0,2432.0
