ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
11694.0,17.0,14722.0,2910.0,162.0,1.0,748.0,1720.0
10524.0,21.0,13402.0,2385.0,133.0,4.0,642.0,1571.0
11120.0,21.0,14273.0,2680.0,143.0,2.0,765.0,1658.0
11418.0,22.0,14325.0,2639.0,159.0,5.0,771.0,1703.0
11705.0,22.0,14656.0,2759.0,139.0,2.0,727.0,1726.0
10736.0,22.0,13945.0,2532.0,144.0,2.0,690.0,1562.0
11728.0,21.0,15253.0,2802.0,171.0,2.0,804.0,1705.0
10636.0,18.0,14398.0,2657.0,134.0,5.0,725.0,1646.0
11237.0,17.0,14656.0,2542.0,147.0,4.0,793.0,1775.0
10890.0,16.0,13994.0,2520.0,126.0,4.0,770.0,1664.0
11052.0,23.0,14565.0,2583.0,138.0,1.0,754.0,1671.0
10293.0,22.0,13681.0,2423.0,122.0,2.0,637.0,1602.0
11290.0,12.0,14753.0,2774.0,145.0,1.0,757.0,1706.0
10453.0,18.0,14008.0,2454.0,136.0,5.0,726.0,1672.0
10667.0,18.0,13718.0,2497.0,125.0,5.0,743.0,1584.0
10753.0,13.0,13599.0,2597.0,149.0,3.0,698.0,1690.0
10644.0,21.0,13911.0,2557.0,130.0,6.0,698.0,1648.0
11031.0,24.0,14640.0,2549.0,144.0,4.0,736.0,1676.0
11552.0,13.0,15596.0,2759.0,122.0,4.0,796.0,1792.0
10974.0,22.0,14770.0,2480.0,116.0,6.0,742.0,1619.0
11372.0,21.0,14552.0,2748.0,148.0,3.0,805.0,1722.0
10321.0,15.0,14173.0,2397.0,117.0,1.0,720.0,1623.0
11533.0,24.0,15259.0,2834.0,141.0,2.0,757.0,1669.0
10477.0,29.0,14336.0,2392.0,133.0,1.0,679.0,1641.0
10701.0,23.0,14763.0,2512.0,120.0,3.0,724.0,1731.0
10611.0,21.0,14187.0,2508.0,104.0,1.0,782.0,1642.0
10922.0,14.0,13987.0,2669.0,134.0,5.0,715.0,1576.0
11083.0,18.0,14281.0,2854.0,111.0,4.0,764.0,1656.0
11049.0,18.0,13942.0,2925.0,158.0,3.0,750.0,1644.0
11668.0,16.0,15077.0,2820.0,121.0,1.0,810.0,1733.0
11586.0,19.0,14965.0,2764.0,139.0,3.0,792.0,1743.0
11267.0,28.0,14650.0,2653.0,130.0,1.0,708.0,1743.0
11869.0,14.0,15897.0,2641.0,125.0,1.0,796.0,1742.0
11377.0,21.0,15182.0,2613.0,127.0,5.0,834.0,1786.0
11677.0,25.0,15648.0,2662.0,129.0,5.0,823.0,1882.0
10929.0,20.0,15166.0,2524.0,114.0,4.0,803.0,1905.0
11340.0,21.0,15328.0,2642.0,134.0,4.0,842.0,1770.0
11880.0,23.0,15871.0,2814.0,115.0,2.0,825.0,1934.0
11257.0,24.0,15314.0,2542.0,102.0,2.0,777.0,1798.0
11764.0,22.0,15502.0,2692.0,113.0,3.0,763.0,1859.0
12078.0,18.0,15410.0,2626.0,128.0,3.0,815.0,1754.0
11410.0,27.0,15782.0,2528.0,104.0,4.0,788.0,1816.0
12217.0,17.0,15545.0,2731.0,125.0,4.0,723.0,1844.0
11757.0,19.0,16447.0,2631.0,125.0,2.0,810.0,1935.0
12833.0,23.0,16012.0,2671.0,138.0,2.0,833.0,1968.0
11692.0,25.0,15275.0,2420.0,125.0,1.0,865.0,1862.0
11883.0,20.0,15834.0,2768.0,137.0,3.0,824.0,1886.0
12438.0,20.0,16238.0,2652.0,104.0,5.0,878.0,2022.0
11277.0,13.0,14858.0,2438.0,126.0,5.0,769.0,1844.0
12034.0,19.0,15557.0,2963.0,142.0,1.0,889.0,1916.0
11658.0,17.0,15521.0,2690.0,138.0,1.0,775.0,1834.0
12151.0,18.0,15995.0,2842.0,128.0,3.0,811.0,1851.0
11596.0,18.0,15720.0,2636.0,129.0,1.0,763.0,1900.0
11391.0,16.0,15571.0,2648.0,112.0,2.0,848.0,1774.0
11289.0,15.0,15751.0,2532.0,110.0,4.0,821.0,1902.0
10720.0,20.0,14963.0,2506.0,110.0,3.0,796.0,1722.0
11004.0,16.0,14607.0,2274.0,128.0,3.0,724.0,1789.0
10848.0,13.0,14624.0,2347.0,117.0,3.0,735.0,1870.0
11261.0,20.0,14887.0,2489.0,121.0,1.0,759.0,1869.0
10708.0,21.0,14680.0,2408.0,103.0,,731.0,1853.0
10802.0,18.0,14863.0,2557.0,82.0,3.0,748.0,1883.0
10425.0,19.0,14757.0,2339.0,94.0,2.0,744.0,1757.0
10568.0,20.0,14676.0,2515.0,111.0,1.0,752.0,1824.0
11400.0,15.0,15308.0,2419.0,109.0,1.0,778.0,1850.0
11304.0,19.0,15180.0,2559.0,108.0,2.0,768.0,1811.0
11560.0,18.0,15153.0,2400.0,125.0,1.0,802.0,1805.0
10947.0,15.0,14689.0,2236.0,88.0,4.0,762.0,1700.0
11734.0,15.0,15728.0,2455.0,120.0,1.0,777.0,1771.0
10940.0,17.0,15086.0,2288.0,116.0,1.0,769.0,1751.0
10674.0,13.0,14552.0,2381.0,99.0,1.0,779.0,1647.0
10942.0,17.0,14991.0,2411.0,126.0,2.0,762.0,1820.0
11348.0,18.0,15014.0,2473.0,113.0,2.0,787.0,1857.0
10628.0,16.0,14957.0,2618.0,103.0,4.0,821.0,1700.0
10590.0,17.0,14690.0,2409.0,137.0,3.0,758.0,1774.0
10233.0,14.0,13926.0,2220.0,117.0,4.0,759.0,1634.0
10072.0,12.0,13887.0,2143.0,114.0,1.0,648.0,1554.0
9609.0,16.0,13587.0,2151.0,75.0,1.0,676.0,1546.0
9996.0,19.0,13428.0,2274.0,118.0,3.0,706.0,1670.0
9904.0,16.0,13992.0,2174.0,95.0,3.0,765.0,1701.0
10715.0,17.0,14602.0,2488.0,124.0,4.0,787.0,1678.0
9580.0,12.0,13932.0,2273.0,93.0,4.0,683.0,1586.0
10520.0,19.0,14820.0,2292.0,96.0,2.0,761.0,1649.0
10381.0,15.0,14968.0,2256.0,80.0,2.0,668.0,1682.0
10486.0,16.0,14345.0,2118.0,102.0,2.0,725.0,1657.0
10226.0,17.0,14459.0,2053.0,112.0,2.0,746.0,1652.0
9055.0,12.0,12722.0,1770.0,88.0,1.0,592.0,1334.0
9891.0,17.0,13770.0,2219.0,104.0,3.0,705.0,1689.0
