ACM_NETO,GIOVANI_DAMICO,JERONIMO_SOUZA,JOAO_ROMA,KLEBER_SOUZA,MARCELO_OLIVERA,BRANCOS,NULOS
29898.0,209.0,20893.0,6883.0,1764.0,9.0,978.0,1855.0
33969.0,157.0,27352.0,5725.0,2012.0,18.0,1769.0,3545.0
42615.0,76.0,31892.0,5596.0,1225.0,12.0,2917.0,6685.0
47323.0,76.0,34407.0,6151.0,794.0,13.0,3812.0,7776.0
33084.0,93.0,25935.0,4929.0,1126.0,11.0,1966.0,3951.0
39012.0,137.0,26447.0,6671.0,1826.0,22.0,1758.0,3699.0
36786.0,143.0,26871.0,6568.0,1906.0,16.0,1697.0,3606.0
42245.0,56.0,29153.0,5805.0,745.0,19.0,2930.0,6323.0
40141.0,93.0,24032.0,6359.0,1071.0,45.0,2531.0,5546.0
54106.0,216.0,38116.0,11481.0,2543.0,22.0,2157.0,4376.0
47208.0,77.0,33092.0,6390.0,953.0,12.0,3121.0,6558.0
47048.0,123.0,32103.0,8654.0,1363.0,8.0,2643.0,5119.0
45400.0,169.0,26420.0,11253.0,1966.0,17.0,1666.0,3202.0
44152.0,82.0,33929.0,5811.0,1158.0,14.0,2979.0,6117.0
35764.0,60.0,24515.0,4921.0,677.0,9.0,2596.0,6023.0
39483.0,87.0,30544.0,5699.0,1213.0,16.0,2540.0,5001.0
43281.0,40.0,26075.0,5233.0,807.0,18.0,3195.0,7120.0
30185.0,63.0,21678.0,4399.0,1046.0,13.0,1882.0,4314.0
52049.0,86.0,34077.0,7173.0,1167.0,17.0,2937.0,6319.0
17236.0,18.0,20897.0,2140.0,82.0,1.0,1216.0,2513.0
18213.0,37.0,31070.0,6918.0,236.0,3.0,1669.0,3484.0
17725.0,27.0,22209.0,5578.0,146.0,3.0,1301.0,3076.0
15207.0,36.0,22613.0,3921.0,124.0,2.0,1032.0,2893.0
16754.0,43.0,16164.0,7059.0,281.0,8.0,1464.0,2245.0
21912.0,73.0,23542.0,9013.0,406.0,11.0,1746.0,3098.0
27998.0,74.0,24972.0,11046.0,323.0,6.0,1857.0,3077.0
24432.0,64.0,19855.0,9589.0,334.0,11.0,1505.0,2442.0
9648.0,13.0,10587.0,1864.0,34.0,0.0,439.0,1289.0
16008.0,30.0,25416.0,2716.0,117.0,3.0,1108.0,2281.0
28692.0,30.0,21800.0,5557.0,212.0,5.0,2129.0,4122.0
17279.0,21.0,15289.0,3093.0,64.0,2.0,927.0,2380.0
31780.0,42.0,27425.0,4808.0,267.0,6.0,2403.0,3801.0
3810.0,3.0,5338.0,1428.0,19.0,5.0,390.0,720.0
16649.0,28.0,13787.0,9789.0,54.0,4.0,1833.0,2330.0
13436.0,25.0,22227.0,3613.0,131.0,1.0,1206.0,2616.0
10334.0,17.0,18329.0,1806.0,46.0,1.0,1079.0,2258.0
5548.0,10.0,12815.0,1262.0,45.0,0.0,584.0,1380.0
38229.0,93.0,27657.0,11180.0,468.0,13.0,2566.0,4253.0
18849.0,29.0,27852.0,3840.0,86.0,6.0,1444.0,3535.0
38688.0,129.0,27127.0,14020.0,1038.0,9.0,2112.0,3521.0
19549.0,26.0,25528.0,3484.0,91.0,6.0,1115.0,3625.0
9265.0,14.0,18731.0,1451.0,59.0,2.0,650.0,1648.0
14216.0,17.0,22139.0,1888.0,67.0,3.0,1101.0,2605.0
19926.0,17.0,24666.0,3354.0,128.0,3.0,1265.0,2531.0
19954.0,46.0,26671.0,4523.0,222.0,1.0,1416.0,3423.0
23777.0,44.0,24335.0,7399.0,269.0,5.0,1904.0,2543.0
25341.0,26.0,30529.0,8264.0,201.0,7.0,2691.0,3353.0
15743.0,11.0,8746.0,1537.0,30.0,1.0,961.0,1732.0
16129.0,14.0,34196.0,1453.0,22.0,2.0,857.0,2680.0
14540.0,13.0,18832.0,1653.0,36.0,1.0,738.0,2278.0
13020.0,25.0,20934.0,1882.0,41.0,0.0,1131.0,2245.0
19196.0,19.0,26413.0,2417.0,56.0,2.0,1281.0,2843.0
11831.0,8.0,14866.0,1500.0,42.0,4.0,550.0,2280.0
18110.0,16.0,23908.0,2498.0,80.0,1.0,1161.0,2724.0
16216.0,17.0,14479.0,3997.0,205.0,1.0,931.0,1880.0
12063.0,23.0,21328.0,1717.0,39.0,3.0,841.0,2193.0
14267.0,46.0,29098.0,2618.0,155.0,7.0,1101.0,3126.0
6469.0,17.0,14163.0,1395.0,23.0,0.0,514.0,1727.0
9671.0,1.0,15564.0,1547.0,5.0,1.0,714.0,1416.0
13421.0,21.0,23792.0,2063.0,94.0,3.0,937.0,3066.0
11815.0,20.0,24782.0,2143.0,144.0,4.0,1085.0,2920.0
19669.0,44.0,31350.0,5899.0,120.0,2.0,2124.0,4254.0
14489.0,9.0,27603.0,1644.0,108.0,3.0,900.0,2707.0
11950.0,18.0,39086.0,4572.0,66.0,2.0,1878.0,3999.0
10301.0,10.0,27447.0,1886.0,28.0,4.0,671.0,2329.0
15974.0,12.0,23162.0,1252.0,41.0,2.0,700.0,1976.0
8070.0,12.0,13296.0,1453.0,31.0,1.0,504.0,1519.0
17015.0,31.0,16207.0,9232.0,284.0,5.0,1568.0,2036.0
19314.0,17.0,37831.0,3636.0,104.0,3.0,1607.0,3515.0
13436.0,11.0,15339.0,2447.0,44.0,2.0,892.0,2104.0
8743.0,11.0,9487.0,1989.0,41.0,3.0,373.0,1086.0
13610.0,26.0,22883.0,1726.0,142.0,2.0,947.0,2646.0
13086.0,12.0,16488.0,5805.0,133.0,6.0,1385.0,1792.0
8740.0,20.0,20712.0,2905.0,36.0,4.0,898.0,2532.0
16133.0,17.0,19207.0,1829.0,11.0,2.0,453.0,2141.0
12982.0,17.0,12163.0,2144.0,65.0,1.0,579.0,1624.0
10517.0,28.0,20943.0,1587.0,47.0,6.0,593.0,2247.0
7859.0,18.0,18556.0,2279.0,62.0,1.0,750.0,1952.0
12413.0,22.0,26948.0,1619.0,35.0,2.0,1059.0,2971.0
16550.0,16.0,25078.0,2003.0,55.0,0.0,1038.0,2465.0
5808.0,15.0,17953.0,1375.0,34.0,1.0,615.0,1488.0
12032.0,25.0,23448.0,2380.0,59.0,1.0,1861.0,2760.0
5574.0,6.0,12315.0,1567.0,16.0,0.0,362.0,1029.0
9820.0,14.0,15856.0,1607.0,50.0,1.0,895.0,2422.0
9588.0,8.0,14947.0,1124.0,41.0,3.0,562.0,2127.0
14907.0,12.0,24974.0,1413.0,73.0,3.0,844.0,2398.0
5300.0,16.0,19028.0,1070.0,82.0,0.0,521.0,1540.0
22310.0,28.0,27313.0,5035.0,115.0,1.0,1638.0,3294.0
5582.0,8.0,6375.0,1929.0,15.0,1.0,406.0,1178.0
3116.0,10.0,10340.0,1159.0,10.0,0.0,267.0,951.0
11064.0,12.0,19943.0,1225.0,40.0,2.0,627.0,1918.0
7670.0,9.0,16144.0,1200.0,26.0,0.0,562.0,1470.0
18683.0,20.0,36902.0,3539.0,154.0,4.0,1414.0,2941.0
7209.0,7.0,13426.0,992.0,8.0,0.0,400.0,858.0
7426.0,10.0,13530.0,1441.0,13.0,1.0,699.0,1226.0
